#shared-none-different-search 	 
#Threads 	 aaai10-planning-ipc5-pathways-13-step17 	 E02F22 	 grid-strips-grid-y-3.035-NOTKNOWN 	 hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin 	 hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin 	 md5_48_3 	 q_query_3_L150_coli.sat 	 slp-synthesis-aes-top30 	 traffic_b_unsat 	 UCG-15-10p1
1 	 3.03 	 5.17 	 31.81 	 0.35 	 0.22 	 3.51 	 21.97 	 0.39 	 12.85 	 0.3 	 12.06 	 0.49 	 23.09 	 0.78 	 11.52 	 0.67 	 4.43 	 3.45 	 21.36 	 0.55
2 	 7.48 	 0.58 	 44.05 	 0.11 	 0.46 	 1.39 	 33.6 	 0.09 	 26.98 	 0.04 	 23.3 	 0.08 	 38.96 	 0.17 	 20.42 	 0.16 	 17.36 	 0.71 	 31.8 	 0.13
3 	 14.02 	 0.32 	 48.53 	 0.04 	 0.52 	 0.91 	 44.2 	 0.12 	 35.94 	 0.1 	 31.87 	 0.17 	 50.2 	 0.05 	 29.32 	 0.12 	 31.94 	 0.27 	 40.58 	 0.1
4 	 21.47 	 0.3 	 53.77 	 0.05 	 0.73 	 2.06 	 50.6 	 0.1 	 44.77 	 0.05 	 39.09 	 0.07 	 58.18 	 0.08 	 36.79 	 0.12 	 44.27 	 0.11 	 43.56 	 0.1
5 	 27.32 	 0.22 	 58.02 	 0.04 	 0.76 	 2.94 	 54.92 	 0.05 	 49.34 	 0.06 	 43.55 	 0.06 	 62.12 	 0.01 	 42.27 	 0.08 	 52.11 	 0.03 	 46.87 	 0.13
6 	 34.08 	 0.14 	 62.63 	 0.09 	 0.98 	 7.0 	 59.48 	 0.04 	 53.98 	 0.02 	 48.16 	 0.05 	 66.05 	 0.04 	 47.66 	 0.06 	 59.76 	 0.03 	 49.78 	 0.08



















