#file 	 aaai10-planning-ipc5-pathways-13-step17 	 E02F22 	 grid-strips-grid-y-3.035-NOTKNOWN 	 hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin 	 hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin 	 md5_48_3 	 q_query_3_L150_coli.sat 	 slp-synthesis-aes-top30 	 traffic_b_unsat 	 UCG-15-10p1
1 	 316.4 	 600.2 	 526.6 	 194.6 	 409.5 	 154.7 	 309.5 	 453.4 	 334.0 	 291.2
2 	 329.3 	 673.3 	 587.7 	 196.8 	 413.2 	 155.8 	 319.7 	 456.1 	 342.1 	 296.5
3 	 345.1 	 723.5 	 670.3 	 200.4 	 419.2 	 157.2 	 335.2 	 464.6 	 349.2 	 309.1
4 	 360.3 	 768.0 	 759.7 	 204.4 	 428.7 	 159.4 	 357.8 	 474.4 	 356.0 	 325.5
5 	 377.0 	 811.3 	 859.3 	 208.7 	 439.0 	 161.8 	 382.4 	 485.3 	 364.9 	 346.4
6 	 395.1 	 859.7 	 963.0 	 213.3 	 450.2 	 165.3 	 415.1 	 496.8 	 376.0 	 373.6
7 	 414.0 	 912.8 	 1109.3		218.3 	 462.3 	 169.8 	 454.9 	 507.8 	 386.9 	 406.2
8 	 437.0 	 976.2 	 1235.0 	 223.5 	 476.5 	 175.7 	 502.8 	 521.0 	 401.8 	 453.5
9 	 464.5 	 1053.3 	 1417.3 	 230.1 	 491.7 	 184.2 	 555.9 	 534.8 	 417.2 	 510.7
10 	 498.5 	 1137.2 	 1584.8 	 236.0 	 509.1 	 192.2 	 612.9 	 551.3 	 435.8 	 585.7
